item,quarter,value
Accommodation,2024-Q4,5141
Accommodation,2024-Q3,3858
Accommodation,2024-Q2,2442
Accommodation,2024-Q1,1314
Accommodation,2023-Q4,4471
Accommodation,2023-Q3,3338
Accommodation,2023-Q2,2031
Accommodation,2023-Q1,1009
Accommodation,2022-Q4,2963
Accommodation,2022-Q3,1938
Accommodation,2022-Q2,1046
Accommodation,2022-Q1,500
Accommodation,2021-Q4,580
Accommodation,2021-Q3,333
Accommodation,2021-Q2,210
Accommodation,2021-Q1,108
Accommodation,2020-Q4,1022
Accommodation,2020-Q3,905
Accommodation,2020-Q2,875
Accommodation,2020-Q1,862
Accommodation,2019-Q4,5529
Accommodation,2019-Q3,4090
Accommodation,2019-Q2,2565
Accommodation,2019-Q1,1256
Food & Beverage,2024-Q4,4269
Food & Beverage,2024-Q3,3192
Food & Beverage,2024-Q2,2051
Food & Beverage,2024-Q1,1103
Food & Beverage,2023-Q4,3977
Food & Beverage,2023-Q3,3008
Food & Beverage,2023-Q2,1858
Food & Beverage,2023-Q1,868
Food & Beverage,2022-Q4,1282
Food & Beverage,2022-Q3,756
Food & Beverage,2022-Q2,367
Food & Beverage,2022-Q1,113
Food & Beverage,2021-Q4,192
Food & Beverage,2021-Q3,129
Food & Beverage,2021-Q2,93
Food & Beverage,2021-Q1,48
Food & Beverage,2020-Q4,454
Food & Beverage,2020-Q3,412
Food & Beverage,2020-Q2,390
Food & Beverage,2020-Q1,376
Food & Beverage,2019-Q4,2497
Food & Beverage,2019-Q3,1848
Food & Beverage,2019-Q2,1175
Food & Beverage,2019-Q1,588
Shopping,2024-Q4,5198
Shopping,2024-Q3,3893
Shopping,2024-Q2,2563
Shopping,2024-Q1,1338
Shopping,2023-Q4,4953
Shopping,2023-Q3,3715
Shopping,2023-Q2,2321
Shopping,2023-Q1,1098
Shopping,2022-Q4,2784
Shopping,2022-Q3,1745
Shopping,2022-Q2,900
Shopping,2022-Q1,211
Shopping,2021-Q4,174
Shopping,2021-Q3,118
Shopping,2021-Q2,87
Shopping,2021-Q1,45
Shopping,2020-Q4,703
Shopping,2020-Q3,675
Shopping,2020-Q2,664
Shopping,2020-Q1,656
Shopping,2019-Q4,5640
Shopping,2019-Q3,4183
Shopping,2019-Q2,2757
Shopping,2019-Q1,1371
"Sightseeing, Entertainment & Gaming",2024-Q4,6069
"Sightseeing, Entertainment & Gaming",2024-Q3,4613
"Sightseeing, Entertainment & Gaming",2024-Q2,3330
"Sightseeing, Entertainment & Gaming",2024-Q1,1937
"Sightseeing, Entertainment & Gaming",2023-Q4,5064
"Sightseeing, Entertainment & Gaming",2023-Q3,3691
"Sightseeing, Entertainment & Gaming",2023-Q2,2121
"Sightseeing, Entertainment & Gaming",2023-Q1,1007
"Sightseeing, Entertainment & Gaming",2022-Q4,2337
"Sightseeing, Entertainment & Gaming",2022-Q3,1568
"Sightseeing, Entertainment & Gaming",2022-Q2,752
"Sightseeing, Entertainment & Gaming",2022-Q1,162
"Sightseeing, Entertainment & Gaming",2021-Q4,223
"Sightseeing, Entertainment & Gaming",2021-Q3,132
"Sightseeing, Entertainment & Gaming",2021-Q2,113
"Sightseeing, Entertainment & Gaming",2021-Q1,62
"Sightseeing, Entertainment & Gaming",2020-Q4,951
"Sightseeing, Entertainment & Gaming",2020-Q3,909
"Sightseeing, Entertainment & Gaming",2020-Q2,863
"Sightseeing, Entertainment & Gaming",2020-Q1,858
"Sightseeing, Entertainment & Gaming",2019-Q4,5997
"Sightseeing, Entertainment & Gaming",2019-Q3,4404
"Sightseeing, Entertainment & Gaming",2019-Q2,2899
"Sightseeing, Entertainment & Gaming",2019-Q1,1457
Other Components,2024-Q4,9104
Other Components,2024-Q3,6866
Other Components,2024-Q2,4538
Other Components,2024-Q1,2386
Other Components,2023-Q4,8690
Other Components,2023-Q3,6557
Other Components,2023-Q2,4116
Other Components,2023-Q1,2036
Other Components,2022-Q4,4812
Other Components,2022-Q3,3076
Other Components,2022-Q2,1509
Other Components,2022-Q1,431
Other Components,2021-Q4,723
Other Components,2021-Q3,477
Other Components,2021-Q2,324
Other Components,2021-Q1,162
Other Components,2020-Q4,1700
Other Components,2020-Q3,1534
Other Components,2020-Q2,1396
Other Components,2020-Q1,1278
Other Components,2019-Q4,8026
Other Components,2019-Q3,6024
Other Components,2019-Q2,3770
Other Components,2019-Q1,1929
